Distance (Km),Longitude,Latitude,MOLA 128ppd Elevation
11.949,137.641,-4.614,-4032
11.963,137.641,-4.615,-4032
11.978,137.641,-4.615,-4032
11.992,137.641,-4.615,-4032
12.007,137.642,-4.615,-4032
12.021,137.642,-4.615,-4032
12.036,137.642,-4.615,-4032
12.05,137.642,-4.615,-4032
12.064,137.643,-4.615,-4032
12.079,137.643,-4.615,-4032
12.093,137.643,-4.615,-4032
12.108,137.643,-4.615,-4032
12.122,137.644,-4.615,-4032
12.137,137.644,-4.615,-4032
12.151,137.644,-4.615,-4032
12.165,137.644,-4.615,-4032
12.18,137.645,-4.615,-4032
12.194,137.645,-4.615,-4032
12.209,137.645,-4.615,-4032
12.223,137.645,-4.615,-4032
12.238,137.646,-4.615,-4032
12.252,137.646,-4.615,-4032
12.267,137.646,-4.615,-4032
12.281,137.646,-4.615,-4032
12.295,137.646,-4.615,-4032
12.31,137.647,-4.615,-4032
12.324,137.647,-4.615,-4032
12.339,137.647,-4.615,-4032
12.353,137.647,-4.615,-4032
